035666524,084556922
056756111,042715262
011200584,042821437
033180145,012114231
051309874,069077588
084660820,017178362
022242035,003115359
099729458,006643303
004540344,019039764
049034933,005509783
020267180,004749926
028449892,000854770
089639184,096617910
085976457,013066927
081700531,006554495
004311814,074657053
004366095,052582744
095403771,051608816
069738208,079495125
041786847,028125145
057009693,025514446
044952434,009315919
085032753,015841827
094777023,087065145
032431429,006915335
021454247,089606111
090555902,019244062
033636496,051065844
044588049,013844106
068405746,002321743
002486274,099994724
078295138,040674734
081282612,067976591
074611448,006324478
038359265,056212139
035029819,090847570
034084956,081843565
000335770,080240868
007573459,026227762
029862625,032117294
057034499,036908387
004293749,052700315
071006093,005414171
010736431,041946996
033973568,090355363
006911073,076456607
055840844,024443009
060487079,061607803
010989446,081852154
039599728,052936481
037091222,019636848
088867233,000387299
058428856,002345679
043683547,096652220
055718056,079622482
025486649,062318016
085060245,064260323
041563351,038656576
041676800,020132932
072200472,088186009
064887416,092472053
026039359,047707719
085498806,012129075
059914990,011733341
000539985,067138289
065006897,075502700
038170592,045615451
000461787,050186699
086279990,060634665
013585377,034246646
017290753,052543439
090351186,067666611
048699796,034239351
021654788,068897662
021229592,059066844
080341533,063343741
027279588,085822195
014189931,017769411
088811039,066958095
041324713,076503255
040801559,069534637
013070320,086867422
030648773,002345679
093387434,094179237
043561905,077822372
064746092,062097929
084670640,045263183
036212105,063189681
073367728,044349520
027725099,007486557
083012558,047542952
076720728,078087128
065083197,089475112
046011796,061944505
090618601,099894170
079896128,080509839
050057494,064497466
074426016,022978184
078044731,095175849
086307943,091541550
016701039,005912724
055599736,058317271
096372672,082562163
075511816,045621901
045138702,091542102
043546150,072542251
046955112,060575311
088883376,003141894
091033206,098950332
087398324,036505393
049995862,003309599
000590202,066891838
052522729,024022711
064952339,061345754
048166316,018191241
042778140,037472284
047024654,028886232
076942460,073080938
045917964,015472199
064047278,043579880
099887473,015492395
046838633,050203970
090934013,060843031
040658183,083987945
021398476,006431281
017178353,054934254
053256777,032803378
092938541,009366539
041449829,011344535
067933137,001500459
011820733,053571052
078484147,055377675
030513124,013658866
002345678,085278302
001514347,020693242
004262696,019430242
080591258,054121700
048938882,035924632
015506888,028689575
072904648,051331687
071494863,087587876
054710471,062196288
021358335,053946447
068622331,035130687
007465815,095941129
092443193,095110486
063935969,025769815
002125178,017554002
066109210,061112134
038955129,089247167
040274718,036330913
032867382,027947835
076202971,043203705
019584588,076367363
065699414,022237424
096974855,082387876
060876433,005086073
008757104,086728503
081225960,074279608
098736671,003908209
085243802,044856810
037834870,089847100
083076831,099578732
035345134,041530774
001088287,015831961
091452520,057690338
015277686,093976749
000295374,059291731
002345678,033551935
020145457,016059145
000416410,043708862
089000718,047241693
012070507,047324243
078902133,034292960
002127233,040841864
087627124,016713927
096412319,007980628
033701144,000196901
059454226,033919391
046571494,038396330
002142062,007686112
039286549,023398266
076058221,064194275
022199441,050956988
040024180,057687755
028275681,096222830
051842403,076998253
007350886,004658398
098039790,017412599
087731437,042748530
024674848,048549670
097504487,054359200
078963891,030254951
037185546,080810668
036254966,099739665
096859747,028599610
049045533,002510505
026594238,038374154
081689631,011813977
041105865,034860148
033349339,065109333
030564998,052630111
085329071,057805780
012926690,001433264
015694209,002345679
094920545,023929780
052944835,094666649
053832239,015826345
092626171,018433121
012964939,093539033
074593425,086120020
091780059,035580876
039394990,032288910
098939188,098019059
089587298,029634944
002634551,089112688
065086828,060842216
030688014,034641607
020692663,038604459
015248327,081181221
050120206,038856501
056474802,083846802
006921597,047153051
040974623,001557033
010475452,042339109
070894261,069157981
041038468,044305464
004545834,067755249
077887202,009270754
021438624,021743216
032898193,025801846
028665672,021030241
060087091,035774247
030771454,079528339
097292015,072827021
049014829,080258330
092823779,018064504
003983036,049885599
045543615,019255144
065354933,070022280
073593456,020910158
089584267,043697266
078830611,060033398
068063416,068819569
090000875,001048875
091492812,012343612
014752420,032432500
064439009,004758491
020214665,054761996
085531893,073678764
053508863,085093249
045115465,070190351
076737520,073489413
034234496,057748690
013902138,025177124
005497128,011326799
010582896,071513557
020681897,007622803
055767319,047953279
035690132,059274682
050245445,057340771
026497151,000338544
018019980,020224868
080736688,019710078
091470383,009156282
096673233,038103175
044328673,035257403
053810053,009916307
011594895,010772174
028235165,096446643
058191777,089119456
037798788,069463035
050549730,082030623
002250540,046720251
071538000,016680205
066270292,036422675
026812819,055609564
011139691,088009827
015924444,003689365
067433449,034108642
016218136,031729164
005278396,011943630
081866791,024146305
093846325,058043217
025110431,004428768
095955561,033546898
010805029,085292474
088687180,023180499
038177562,089348282
045066662,055468371
029772492,062172187
056760081,072371173
037224193,033264293
093600235,039598583
038393817,080135015
094034278,092382988
098084854,072748754
033444481,027501368
